sample.name	rep1	rep2
withENH	-0.8898229969825107	-0.973527788638809
withENH	-1.2906466370416536	-1.073984135601807
noENH	NaN	-1.2977116211710096
withENH	-2.6882390018610884	-2.9735277886388087
noENH	NaN	-1.8787982885791656
withENH	-1.3711365549020218	-1.6590879800131275
noENH	-4.014415068706477	-2.1276629212768046
withENH	-1.5700309171296178	-0.5842998019878723
noENH	-4.280630734668659	-4.508154908658775
noENH	-1.8683081332894669	NaN
withENH	0.6620476481799897	0.4748616592069034
withENH	-0.7319681617225744	-1.3479233034203069
withENH	-1.0331504147492898	-1.0865296260832222
withENH	-1.6301462339754442	-1.7629608026991508
withENH	-0.19753723265017242	-0.5228663796292436
noENH	-1.3589512893204874	-5.076403234274434
noENH	-2.5635405437060337	-3.324173089112006
noENH	-1.871702843922129	-3.873771456247204
withENH	-0.37104844277853577	-0.16813131852015056
noENH	-2.5463800384021047	-2.4121504291209366
noENH	-3.5019859190436513	-2.694373717441738
withENH	-2.718883634075357	-3.152569218461755
noENH	-2.578801516094482	-2.1402905296045542
noENH	-2.025293598681217	-2.445145111132975
noENH	-0.7010572661454801	-2.0033042080626284
withENH	-2.0980015590992576	-2.2035333940851323
noENH	-2.7308046095395317	-3.271596641784731
noENH	NaN	-2.8370357641879047
withENH	1.5506556169392882	1.0657677701510204
withENH	-1.5831278874022319	-0.9390548331279445
noENH	-1.1959269762460933	-1.9953421936934546
noENH	-2.3219505337582564	-2.4086192351078606
noENH	-0.5243537320721057	-2.6145004187308523
withENH	-1.6222323035775803	-2.077436593882814
withENH	-2.252062706780424	-2.2482688993086035
noENH	0.109054845546944	-0.2881031557725606
noENH	-0.5243537320721057	-1.716741530470193
withENH	-1.2133558182682407	-0.8910656284468359
withENH	-1.0056696783271828	-1.1511711345557056
withENH	0.2779816169962782	-0.5580719927546879
withENH	0.07610231104808812	-0.11875761616488517
noENH	-2.615327392119596	-2.763993813088365
withENH	-0.027612231207859828	-0.09450398646323432
noENH	-3.2972311588232603	-4.354908648363093
noENH	-1.4913386748441428	-2.287603834146495
withENH	0.39740935664360594	0.05031895331555869
withENH	-0.7824997333713286	0.8744691179161413
withENH	-1.0092875729947792	-1.1128198303343049
noENH	-2.7230307799755415	-4.490163968887648
withENH	-1.1137688749575745	-0.7664497887790306
noENH	-3.5132131744669053	-5.338229907216463
noENH	-2.374245183433613	-3.0153210541624573
noENH	-1.2594988906139428	-6.312234698683518
withENH	NaN	-3.9735277886388087
withENH	-2.87560913776281	-4.358191638874134
withENH	-0.17763767521246715	-0.0026741342983255256
withENH	0.20845512702566477	0.3391373849195852
noENH	-2.3353236208132993	-3.563942686844522
noENH	-2.008008589873948	-3.038669625357555
noENH	-1.8958789103856974	-2.939680530726188
withENH	-1.3117082525694834	-2.0014405343592148
withENH	-0.15405364368168534	-0.37971437033538696
noENH	-3.3348759332083926	-2.7532674064953064
withENH	-1.434788546204182	-1.7355843637678454
withENH	-2.219563538980171	-1.1926450779423958
withENH	-0.13833988224905713	-0.47345418550416596
noENH	-0.9497994536629271	-1.61690892687974
withENH	-1.2156845793604318	-1.0969617298870882
noENH	NaN	-3.4377655807673775
noENH	-1.8594162231895974	-2.6592758159107217
noENH	-2.3201074218760755	-3.1111392282414156
withENH	-1.3610359649330517	-2.7104933828050153
noENH	-2.12618163566355	-3.9976241008948605
noENH	-3.492292522839807	-4.075466714178876
noENH	-0.9393912313509494	-1.3290113771870842
withENH	-0.5536810428754475	-1.125530882083859
noENH	-2.6798378362575925	-3.6632586716879834
noENH	-2.038508064707054	-2.9874731592698818
withENH	-1.87560913776281	-2.2950995745436513
noENH	-3.7199447273284467	-3.4902330006615125
withENH	-1.1447957705781988	-1.1255308820838588
noENH	-2.1663062113780915	NaN
noENH	-0.621605838637898	-2.332435920078857
withENH	-1.7760734642118954	-2.3065027689514794
noENH	-0.8895023555585906	-4.307856258172944
noENH	-1.4458768053740583	-2.83349974259193
noENH	-2.9494448960148727	-3.157657661574642
noENH	-4.553383250859484	-5.023277595890399
noENH	-1.7605268280914694	-2.391687509174719
noENH	NaN	-1.4122304886602395
noENH	-2.351854239189197	-3.177079729589722
noENH	NaN	-2.075195501382669
noENH	-3.3456826881649757	-4.181310518963821
withENH	-0.7175827436961674	-1.388565287917653
withENH	1.387425268070984	2.7813597135246595
withENH	-2.2461499890820287	-2.7044924145782927
noENH	-1.6983831318471545	-2.5391426011424594
noENH	-4.060953211231863	-3.8280351748972787
withENH	-1.1011977703714755	-1.13804527932962
noENH	-1.5246334203046679	-0.90680984994187
noENH	-0.8728236144119601	-1.813703260357281
noENH	-3.031697542389725	-4.038669625357555
