sample	x	y
+Inr+Ypatch	5	-2.624276592658945
+TATA+Inr+Ypatch	8	-1.2800869212269768
WT	1	-3.9517334073053045
+TATA+Ypatch	7	-1.6696327152750072
+Ypatch	3	-3.2103069655520966
+Inr	2	-3.303290333525013
+Inr+Ypatch	5	-2.195647566103919
+TATA+Inr	6	-0.34320475451777677
+Inr+Ypatch	5	-1.7779917297583485
+TATA	4	-0.5425915035562143
+TATA+Inr	6	-0.4083740086561166
+TATA+Inr+Ypatch	8	-0.09909350347535623
WT	1	-2.080170348683983
+Inr	2	-3.490075774516743
+Inr+Ypatch	5	-1.9866275723837359
+TATA	4	-2.3763833100451004
+TATA+Inr	6	-0.4071092297339477
+TATA+Inr+Ypatch	8	-0.6861827167771775
+TATA+Ypatch	7	-1.4528333281362622
WT	1	-3.276341605465814
+Inr	2	-2.88940178572132
+Inr+Ypatch	5	-2.2097270587578883
+TATA	4	-1.468774706460008
+TATA+Inr	6	-2.0775027908032864
+TATA+Inr+Ypatch	8	-0.40354113909313316
+TATA+Ypatch	7	-1.2247805316801477
+Ypatch	3	-1.5230404050181903
WT	1	-2.918538509242052
+Inr	2	-2.8571113347455865
+Inr+Ypatch	5	-1.465848290670324
+TATA	4	-1.409805661412856
+TATA+Inr	6	-1.4128163372790232
+TATA+Inr+Ypatch	8	-0.44710192299008233
+TATA+Ypatch	7	-1.080170348683983
+Ypatch	3	-2.031020585445784
WT	1	-2.887539434800437
+Inr	2	-2.404983834614921
+TATA+Inr+Ypatch	8	-1.2103570608693461
+TATA+Ypatch	7	-0.7010492217856727
+Inr	2	-1.879932438628621
+TATA	4	-1.7090015454063143
+TATA+Inr	6	-0.7232278348022269
+TATA+Inr+Ypatch	8	0.49438850251675415
+TATA+Ypatch	7	-0.07414411873867499
+Ypatch	3	-1.8842686172622498
