sample	x	y
+Inr+Ypatch	5	-1.8818135928220985
+TATA+Inr+Ypatch	8	-1.7257826099208444
WT	1	-4.022189489661984
+Inr+Ypatch	5	-1.7960691145110892
+TATA+Ypatch	7	-1.6052796871243058
+Ypatch	3	-2.26377199731395
WT	1	-2.702959710119608
+Inr	2	-4.054888351296741
+Inr+Ypatch	5	-2.1179972093984514
+Inr+Ypatch	5	-2.3375982996639726
+TATA	4	-1.749020449501202
+TATA+Inr	6	-2.3474888523643815
+TATA+Inr+Ypatch	8	-1.5970228097455434
+Inr	2	-2.7560328545651696
+Inr+Ypatch	5	-1.5330347086772955
+TATA	4	-1.8808898980192665
+TATA+Inr	6	-1.9270609135626433
+TATA+Inr+Ypatch	8	-1.7567270818111427
+TATA+Ypatch	7	-1.952328518602736
WT	1	-3.3911010222824896
+Inr	2	-3.352361645943631
+Inr+Ypatch	5	-2.4799982808320147
+TATA	4	-2.359952520544856
+TATA+Inr+Ypatch	8	-1.8664036220740796
+TATA+Ypatch	7	-2.6044781582348753
+Ypatch	3	-1.8956811205765525
WT	1	-2.5843351958235257
+Inr	2	-2.5821122433079298
+TATA	4	-2.4024610605325307
+TATA+Inr	6	-4.029541534585185
+TATA+Inr+Ypatch	8	-2.0874761214220374
+Ypatch	3	-2.3600614719133772
WT	1	-3.2976017648818625
+Inr	2	-2.4075038265934365
+TATA+Ypatch	7	-2.823242017353709
+Inr	2	-2.109014486829579
+TATA	4	-1.9531289779510177
+TATA+Inr	6	-1.9146875823948006
+TATA+Inr+Ypatch	8	-1.6074794696427697
+TATA+Ypatch	7	-1.8500564603658214
+Ypatch	3	-3.381031615232245
