sample	x	y
+Inr	2	-2.871508159313983
+Inr+Ypatch	5	-2.4418963788862227
+TATA	4	-0.5978237830519596
+TATA+Inr	6	-0.020474743221515185
+TATA+Inr+Ypatch	8	0.28217576441781667
+TATA+Ypatch	7	-0.6246841534952287
+Ypatch	3	-2.3903050334125373
WT	1	-3.086663453276984
+Inr	2	-3.182982840043277
+Inr+Ypatch	5	-4.0107548913289754
+TATA	4	-3.659892619327609
+TATA+Inr	6	-3.777993910696639
+TATA+Inr+Ypatch	8	-3.4558619576429557
+TATA+Ypatch	7	-3.113573304898536
+Ypatch	3	-3.646790407389606
WT	1	-4.267733941647288
+Inr	2	-4.4453660221020055
+Inr+Ypatch	5	-4.688341435462908
+TATA	4	-4.046350888705258
+TATA+Inr	6	-3.265795651158902
+TATA+Inr+Ypatch	8	-3.027788125856454
+TATA+Ypatch	7	-3.808692868080499
+Ypatch	3	-3.8356449617937027
WT	1	-4.469452917520089
+Inr	2	-3.48772116623596
+Inr+Ypatch	5	-3.9527161180915202
+TATA	4	-2.773072406594026
+TATA+Inr	6	-2.907902365385387
+TATA+Inr+Ypatch	8	-2.3301718649791834
+TATA+Ypatch	7	-2.6519344837605283
+Ypatch	3	-3.7791088227443135
WT	1	-3.7169617551748466
+Inr	2	-3.744214657665883
+Inr+Ypatch	5	-3.6541744631333994
+TATA	4	-3.868251851515179
+TATA+Inr	6	-3.3965278239274346
+TATA+Inr+Ypatch	8	-3.5794006776901353
+TATA+Ypatch	7	-3.742094746248368
+Ypatch	3	-3.330508117442681
WT	1	-4.229621374538366
+TATA	4	-3.6755364989255583
+TATA+Inr	6	-2.700439718141092
WT	1	-3.4374053123072983
+Inr	2	-2.9368231394172652
+Inr+Ypatch	5	-2.8298580695738584
+TATA	4	-3.0522854795623005
+TATA+Inr	6	-2.7425770916494523
+TATA+Inr+Ypatch	8	-2.3983973542113994
+TATA+Ypatch	7	-2.9107993589541903
+Ypatch	3	-2.9084799055571873
WT	1	-3.1220052938326592
+Inr	2	-3.7713250980560713
+Inr+Ypatch	5	-3.242935537951625
+TATA	4	-3.332131597335852
+TATA+Inr	6	-3.053096041324818
+TATA+Inr+Ypatch	8	-2.7153781193901922
+TATA+Ypatch	7	-2.8774795456796776
+Ypatch	3	-2.965564745888325
WT	1	-3.5146180990542955
+Inr	2	-2.9899594375242406
+Inr+Ypatch	5	-2.951899298882584
+TATA	4	-2.575450591636918
+TATA+Inr	6	-2.122595429451164
+TATA+Inr+Ypatch	8	-2.2819954877777606
+TATA+Ypatch	7	-2.260413097845851
+Ypatch	3	-2.996577351102588
WT	1	-3.416965673423831
+Inr	2	-2.463993707201822
+Inr+Ypatch	5	-2.6872117842064807
+TATA	4	-2.682060790118607
+TATA+Inr	6	-2.2746422603593097
+TATA+Inr+Ypatch	8	-1.3303628739411795
+TATA+Ypatch	7	-2.2930444607260627
+Ypatch	3	-3.0921437639269387
WT	1	-3.453045426795842
