sample	x	y
+Inr	2	-3.6765406788737587
+Inr+Ypatch	5	-3.1207378369084298
+TATA	4	-2.134326335152693
+TATA+Inr	6	-2.550025260630198
+TATA+Inr+Ypatch	8	-1.9599719189988107
+TATA+Ypatch	7	-2.0430619226021527
+Ypatch	3	-3.242770842556773
WT	1	-3.9155117391906207
+Inr	2	-2.764679344401602
+Inr+Ypatch	5	-2.504005002775459
+TATA	4	-2.153963585471056
+TATA+Inr	6	-1.930177768676368
+TATA+Inr+Ypatch	8	-1.6984198318724966
+TATA+Ypatch	7	-1.4512455868236218
+Ypatch	3	-2.768154920355078
WT	1	-3.046665771828905
+Inr	2	-3.990070711088444
+Inr+Ypatch	5	-3.767867431322694
+TATA	4	-1.7939119996990636
+TATA+Inr	6	-1.7329861813144276
+TATA+Inr+Ypatch	8	-1.315901504461741
+TATA+Ypatch	7	-1.3552999291119654
+Ypatch	3	-3.8689190977762284
WT	1	-4.440640690171129
+Inr	2	-2.4225833640982017
+Inr+Ypatch	5	-2.364471842598109
+TATA	4	-2.242966740921652
+TATA+Inr	6	-2.7462935198139338
+TATA+Inr+Ypatch	8	-1.52853963975191
+TATA+Ypatch	7	-1.611114261419866
+Ypatch	3	-2.399652901840061
WT	1	-2.6961922864305317
+Inr	2	-3.490170332383191
+Inr+Ypatch	5	-3.0986197719219115
+TATA	4	-2.9986509866675357
+TATA+Inr	6	-2.835602538243125
+TATA+Inr+Ypatch	8	-2.408350997378842
+TATA+Ypatch	7	-2.071015450799055
+Ypatch	3	-2.681022263826228
WT	1	-3.312174937711621
+Inr+Ypatch	5	-3.287235376721203
+TATA	4	-2.0196936873510425
+TATA+Inr	6	-2.9788868045742163
+TATA+Ypatch	7	-1.1072370406300882
+Inr	2	-2.8528930443699743
+Inr+Ypatch	5	-2.710470689593152
+TATA	4	-1.3433293895502274
+TATA+Inr	6	-1.3727849184713914
+TATA+Inr+Ypatch	8	-0.8261300169574983
+TATA+Ypatch	7	-0.8108467754994396
+Ypatch	3	-2.9265091613763583
WT	1	-2.2526357989428165
+Inr	2	-3.515575558444941
+Inr+Ypatch	5	-2.602665934129977
+TATA	4	-2.4516629125630285
+TATA+Inr	6	-1.8417459422105482
+TATA+Inr+Ypatch	8	-1.2585392765463608
+TATA+Ypatch	7	-1.8218252156910888
+Ypatch	3	-2.9571403449686935
WT	1	-3.4987769200056262
+Inr	2	-2.873170069798274
+Inr+Ypatch	5	-2.541102962748626
+TATA	4	-2.2089494989779075
+TATA+Inr	6	-2.0182202219310628
+TATA+Inr+Ypatch	8	-1.5390041007955269
+TATA+Ypatch	7	-1.8055394908484979
+Ypatch	3	-2.5965860389762865
WT	1	-3.159612856767261
+Inr	2	-1.7254068102142752
+Inr+Ypatch	5	-2.237523182548435
+TATA	4	-1.7340396430485945
+TATA+Inr	6	-1.7320029576435516
+TATA+Inr+Ypatch	8	-2.0694615241265
+TATA+Ypatch	7	-1.7196146424722603
+Ypatch	3	-2.0013139224663465
WT	1	-2.02053916123178
