sample	LaTeX.label	med	lq	uq	lw	uw	n	id
bin1-	0.16\GCto 0.29	-0.04303671011920761	-0.6246781038864597	0.5573849277288432	-2.397772651309414	2.3304794751517974	1995	1
bin1+	0.16\GCto 0.29	-0.14952334838092352	-0.6965872025737023	0.43862497491306407	-2.3994054688038515	2.1414432411432136	1375	2
bin2-	0.29\GCto 0.32	0.04984195048731177	-0.4593680395238758	0.5805666463235775	-2.0192700682950555	2.1404686750947572	2435	3
bin2+	0.29\GCto 0.32	-6.026855576611867e-4	-0.5638790914634799	0.5644151233170707	-2.256320413634306	2.2568564454878963	1117	4
bin3-	0.32\GCto 0.35	0.07273376482976834	-0.43030119353210927	0.6024629362999439	-1.979447388280189	2.1516091310480236	2291	5
bin3+	0.32\GCto 0.35	0.06730000665142066	-0.5075977212037934	0.6170405067166544	-2.194555063084465	2.3039978485973265	869	6
bin4-	0.35\GCto 0.39	0.029045226787888012	-0.40190206219133684	0.5524083062519171	-1.8333676148562175	1.9838738589167977	2502	7
bin4+	0.35\GCto 0.39	0.03200359999815694	-0.4582660218047819	0.6371669816071829	-2.1014155269227293	2.28031648672513	660	8
bin5-	0.39\GCto 0.60	-0.07961088965802743	-0.4566199662498822	0.3756490571248621	-1.7050235013119988	1.6240525921869786	2643	9
bin5+	0.39\GCto 0.60	0.02180354743835311	-0.3613716688256481	0.551562257370696	-1.730772558120164	1.920963146665212	377	10
