sample	LaTeX.label	med	lq	uq	lw	uw	n	id
bin1-	0.17\GCto 0.38	0.1532792561727293	-0.3429931672465508	0.6527555876191551	-1.8366162995451099	2.1463787199177142	3730	1
bin1+	0.17\GCto 0.38	0.05606654629601532	-0.4868227634517703	0.5722600893095556	-2.0754470425937592	2.1608843684515446	1520	2
bin2-	0.38\GCto 0.44	0.07699805598478027	-0.4132352172598478	0.5734633785617598	-1.8932831109922592	2.053511272294171	3846	3
bin2+	0.38\GCto 0.44	0.025248018709717657	-0.496264490841839	0.48111136476138505	-1.962328274246675	1.9471751481662212	1260	4
bin3-	0.44\GCto 0.50	-0.11171337152101435	-0.6177549985854582	0.42154306577924183	-2.1767020951325087	1.980490162326292	3804	5
bin3+	0.44\GCto 0.50	-0.09911912254217842	-0.6589361811349259	0.41096548111198306	-2.2637886745052898	2.0158179744823466	1172	6
bin4-	0.50\GCto 0.57	-0.2593367283003669	-0.720795635585878	0.24661009646624787	-2.171904233664067	1.6977186945444367	3917	7
bin4+	0.50\GCto 0.57	-0.35140410318211657	-0.904711064437413	0.21494350244956206	-2.5841929147678755	1.8944253527800246	817	8
bin5-	0.57\GCto 0.83	-0.3979357121156466	-0.838192540315682	0.06673803869112827	-2.1955884088258975	1.4241339072013437	4844	9
bin5+	0.57\GCto 0.83	-0.39991374304285887	-0.9085001218110936	0.09683792939147562	-2.416507198614948	1.6048450061953297	646	10
