sample	LaTeX.label	med	lq	uq	lw	uw	n	id
bin1-	0.16\GCto 0.29	-0.09368243617496097	-0.6559251386443681	0.5061389514561712	-2.399021273795177	2.24923508660698	3194	1
bin1+	0.16\GCto 0.29	0.05847344814344507	-0.438295471278795	0.6258941236243198	-2.034579863633467	2.222178515978992	176	2
bin2-	0.29\GCto 0.32	0.0144315002918054	-0.5150925816349621	0.5584757138564389	-2.1254450248720635	2.1688281570935404	3189	3
bin2+	0.29\GCto 0.32	0.24102657687979878	-0.3051741701055066	0.7226877840117361	-1.8469671012813706	2.2644807151876	363	4
bin3-	0.32\GCto 0.35	0.03005918265004759	-0.48140178332552663	0.5671597380119889	-2.0542440653318	2.1400020200182626	2681	5
bin3+	0.32\GCto 0.35	0.2924115445206611	-0.24316340836672073	0.8747136471707835	-1.9199789916729768	2.5515292304770396	479	6
bin4-	0.35\GCto 0.39	-0.00896662953112981	-0.4387818139009101	0.5327666481165056	-1.8961045069270337	1.9900893411426293	2603	7
bin4+	0.35\GCto 0.39	0.19478152980195618	-0.26452574535777695	0.7643693557480874	-1.8078683970165736	2.307712007406884	559	8
bin5-	0.39\GCto 0.60	-0.09873343053292438	-0.4823463791671795	0.3596647187872286	-1.7453630260987918	1.6226813657188408	2335	9
bin5+	0.39\GCto 0.60	0.07149854722710547	-0.3762353839652291	0.5443877317941725	-1.7571700576043314	1.925322405433275	685	10
