sample	LaTeX.label	med	lq	uq	lw	uw	n	id
bin1-	0.17\GCto 0.38	0.11704655304583045	-0.3931597391968446	0.6151583578655353	-1.9056368847904146	2.1276355034591052	4704	1
bin1+	0.17\GCto 0.38	0.1716825967215978	-0.3521214820256839	0.7464508164099362	-1.999979929679114	2.3943092640633665	546	2
bin2-	0.38\GCto 0.44	0.02812116049516966	-0.44418333544318944	0.5032602347139085	-1.8653486906788364	1.9244255899495553	4105	3
bin2+	0.38\GCto 0.44	0.1850959489153151	-0.3410317609147895	0.7242614341197946	-1.9389715534666656	2.3222012266716705	1001	4
bin3-	0.44\GCto 0.50	-0.17188664072540605	-0.6916677534523592	0.32986124559354896	-2.2239612520212217	1.8621547441624113	3718	5
bin3+	0.44\GCto 0.50	0.08762927732560882	-0.4393180115484071	0.6596740476271469	-2.087806100311738	2.308162136390478	1258	6
bin4-	0.50\GCto 0.57	-0.34909362119372744	-0.8418103152919035	0.14505114356808457	-2.3221025035818856	1.6253433318580668	3045	7
bin4+	0.50\GCto 0.57	-0.12643974125324853	-0.6044735496818205	0.43215188927841997	-2.1594117081221813	1.9870900477187807	1689	8
bin5-	0.57\GCto 0.83	-0.48681348858981366	-0.9419329310972768	-0.03658298534866633	-2.299957849720193	1.3214419332742495	2947	9
bin5+	0.57\GCto 0.83	-0.2961837246175385	-0.7244620595098263	0.17195299025070443	-2.0690846341506224	1.5165755648915005	2543	10
