sample	LaTeX.label	med	lq	uq	lw	uw	n	id
bin1-	0.16\GCto 0.29	0.010295391114243824	-0.5829496876282398	0.6123046336884098	-2.375831169603214	2.4051861156633842	2143	1
bin1+	0.16\GCto 0.29	-0.21946753507478847	-0.7928386424775009	0.3334599078382642	-2.4822864679511487	2.022907733311912	1227	2
bin2-	0.29\GCto 0.32	0.12835793289691655	-0.38600364338951754	0.6729761299527544	-1.9744733034029254	2.261445789966162	2160	3
bin2+	0.29\GCto 0.32	-0.11806188903048198	-0.6608414909766204	0.42764974072698314	-2.2935783385320256	2.0603865882823884	1392	4
bin3-	0.32\GCto 0.35	0.12148002568119565	-0.3780480272861246	0.6631144114151812	-1.9397916853380834	2.22485806946714	1898	5
bin3+	0.32\GCto 0.35	-0.008332091923874768	-0.5398466752315225	0.5359820874329082	-2.1535898192281686	2.1497252314295543	1262	6
bin4-	0.35\GCto 0.39	0.07802140210029984	-0.35125377809222513	0.5961267257529625	-1.7723245338600067	2.017197481520744	1861	7
bin4+	0.35\GCto 0.39	-0.038900714444886964	-0.5153913904677017	0.5157256355776707	-2.06206692953576	2.0624011746457294	1301	8
bin5-	0.39\GCto 0.60	-0.014955978954584559	-0.3987554386372898	0.4421510128407752	-1.6601151158543872	1.7035106900578727	1829	9
bin5+	0.39\GCto 0.60	-0.12605334192320505	-0.5222684019213537	0.29544030599226856	-1.748831463791787	1.5220033678627019	1191	10
