sample	LaTeX.label	med	lq	uq	lw	uw	n	id
bin1-	0.17\GCto 0.38	0.1443657534702507	-0.3349211495246015	0.6431952206226514	-1.802095704745481	2.110369775843531	3475	1
bin1+	0.17\GCto 0.38	0.06024318515574212	-0.47091645873168364	0.6032816176701378	-2.082213573334416	2.21457873227287	1775	2
bin2-	0.38\GCto 0.44	0.09508364669196734	-0.3923562665522615	0.5795216405252106	-1.8501731271684698	2.037338501141419	3267	3
bin2+	0.38\GCto 0.44	0.01114524615647472	-0.4804194792025469	0.5117297842427493	-1.9686433743704912	1.9999536794106936	1839	4
bin3-	0.44\GCto 0.50	-0.11975419605104909	-0.6271308802233018	0.417090800917382	-2.193463401934327	1.9834233226284075	3352	5
bin3+	0.44\GCto 0.50	-0.09446759050936726	-0.6161059625343623	0.4275205791139664	-2.181545775006856	1.9929603915864598	1624	6
bin4-	0.50\GCto 0.57	-0.24765926141289474	-0.7330465410826194	0.26032008499504156	-2.2230964801991107	1.750370024111533	3308	7
bin4+	0.50\GCto 0.57	-0.30972077381355545	-0.8061108431487229	0.1915696413874245	-2.3026315699529443	1.6880903681916455	1426	8
bin5-	0.57\GCto 0.83	-0.39133217496451467	-0.8449819665390857	0.0728895606271619	-2.2217892572884574	1.4496968513765336	4140	9
bin5+	0.57\GCto 0.83	-0.423468727770693	-0.8392929036957838	0.07052934570446923	-2.2040262777961632	1.4352627198048489	1350	10
