sample	LaTeX.label	med	lq	uq	lw	uw	n	id
bin1-	0.20\GCto 0.42	0.6265401645544375	0.06201269868860526	1.1657802087812068	-1.5936385664502968	2.821431473920109	4353	1
bin1+	0.20\GCto 0.42	0.4885096418523438	-0.053828009233645585	1.0655595015810295	-1.7329092754556583	2.744640767803042	2072	2
bin2-	0.42\GCto 0.49	0.469525461345222	-0.06863169480338982	0.9848370998508518	-1.6488348867847522	2.565040291832214	4652	3
bin2+	0.42\GCto 0.49	0.315832599896686	-0.19084933369550025	0.860148318571397	-1.7673458120958458	2.4366447969717426	2011	4
bin3-	0.49\GCto 0.54	0.29177740477868896	-0.18887609336840927	0.7842734758072851	-1.6486004471319509	2.2439978295708265	4039	5
bin3+	0.49\GCto 0.54	0.15441587239963095	-0.31915356040063037	0.6104302903509164	-1.7135293365279507	2.0048060664782366	1755	6
bin4-	0.54\GCto 0.60	0.0898207654451717	-0.38499469158638744	0.5733862279313295	-1.8225660708629627	2.0109576072079047	4867	7
bin4+	0.54\GCto 0.60	-0.0117214430613517	-0.44697904205046113	0.4656282495964641	-1.815889979520849	1.834539187066852	1801	8
bin5-	0.60\GCto 0.84	-0.15130234225654116	-0.582848437332081	0.3155652042402429	-1.930468899690567	1.663185666598729	5574	9
bin5+	0.60\GCto 0.84	-0.18731414106446764	-0.6043702214819447	0.2490798270014546	-1.8845452942070438	1.5292548997265536	1522	10
